Membership Type,Number,Organization Name,Address,State
ASSOCIATE MEMBERS,74,Hindustan Zinc Limited 81 Inspectorate Griffith India Private Limited,"Yashad Bhawan, Ecocentre,16th Floor, Unit 1601, Udaipur 313 004 Block - EM04, Salt Lake, Sector - V, Rajasthan Kolkata 700 091, West Bengal",Rajasthan
ASSOCIATE MEMBERS,75,ICL Fertilizers (India) Private Limited 82 Intertek India Private Limited,"306, Tower A, Millennium Plaza F Wing, 1st Floor, Tex Center, Sector 27 Chandivali Farm Road, Chandivali, Andheri (E), Gurgaon 122 002 Mumbai 400 072, Haryana Maharashtra",Haryana
ASSOCIATE MEMBERS,76,IFFCO-TOKIO General Insurance Co. Limited 83 Ion Exchange India Limited,"IFFCO Tower, 4th & 5th Floor, Ion House, Plot No.3, Sector-29, Dr. E. Moses Road, Mahalaxmi, Gurgaon 122 001 Mumbai 400 011, Haryana Maharashtra",Haryana
ASSOCIATE MEMBERS,77,Indian Micro-Fertilizers Manufacturers Association 84 IPL Biologicals Limited,"(IMMA) M2K Corporate Park, Sector - 51, N Block, C/o Manshya Marketing Pvt. Ltd., Gurugram 122 003, S. No. 49/1A/1A/1A, Opp. Micro Supreme Auto Haryana, Industrial Pvt. Ltd., Gokulnagar, Pune 411 048",Haryana
ASSOCIATE MEMBERS,85,ISGEC Heavy Engineering Limited 92 Jaishil Sulphur and Chemical Industries,"Yamunanagar B Wing, 202/203 Pratik Industrial Estate, Haryana Bhandup Goregaon Link Road, Near Fortis Hospital, Bhandup (W), Mumbai 400 078, Maharashtra",Haryana
ASSOCIATE MEMBERS,86,ITT Engineering India Private Limited 93 Jyoti Consultants,"14, Floor-GRD, 731/2, Air Condition Market Building B-79, Defence Colony, Pandit Madan Mohan Malviya Marg, Tardeo Bhisham Pitamaha Marg, Mumbai 400 034 New Delhi - 110 024, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,87,J.B. Boda Insurance Surveyors & Loss Assessors 94 Jyoti Trading Corporation,"Private Limited B-78, 2nd Floor, 1304, 13th Floor, Vijaya Building, Defence Colony, 17, Barakhamba Road, New Delhi 110 024, New Delhi - 110 001",
ASSOCIATE MEMBERS,88,J.J. Consultants Private Limited 95 K+S Fertilizers (India) Private Limited,"6, Sunder Nagar, Office No. 612, 6th Floor, New Delhi - 110 003 Bestech Business Tower, Sector 48, Gurgaon 122 098, Haryana",Haryana
ASSOCIATE MEMBERS,89,J.M. Baxi & Co. 96 Kalantri Beej Bhandar,"1006, 10th Floor, Mohandev Building, Old Mondha Beed, 13, Tolstoy Marg, Dist. Beed 431 131, New Delhi - 110 001 Maharashtra",Maharashtra
ASSOCIATE MEMBERS,90,Jagmohanlal and Company 97 Kan Biosys Private Limited,"74/119-A, SBI Building, Dhankutti 917/17, Ganeshwadi, Raveedeep, Kanpur Nagar Off F.C. Road, Kanpur 208 001 Pune 411 004, Uttar Pradesh Maharashtra",Uttar Pradesh
ASSOCIATE MEMBERS,91,Jaipur Bio Fertilizers 98 Karaikal Port Private Limited,"1st Floor, 23, Om Tower, Chhabra Road No.39, Chettinad Chambers, 5th Street, Nandpuri Extension, Hawa Sadak, Sodala 3rd Floor, R.K. Salai, Near AVM Rajeshwari Marriage, Jaipur 302 019 Chennai 600 004, Rajasthan Tamil Nadu",Rajasthan
ASSOCIATE MEMBERS,99,Karneet Enterprises (India) Private Limited 106 Knack Packaging Private Limited,"No. 23/3,1st & 2nd Floor, 330/A, 3rd Floor, Kalasagar Mall, Hare Krishna Road,Crescent Road, High Grounds, Opp. Sai Baba Temple, Nr.Sattadhar Cross Roads, Bengaluru 560 001 Ghatlodiya, Karnataka Ahmedabad 380 061, Gujarat",Karnataka
ASSOCIATE MEMBERS,100,Kasturchand Fertilizers Private Limited 107 Kotak Global Tradlinks Private Limited,"5, Shri Sainath Enclave, 311, 3rd Floor, Sakar V, B/H Natraj Cinema, 2nd Floor, Block No. 203, Off. Ashram Road, Near S.T. Bus Stand Square, Ganeshpeth Ahmedabad 380 009, Nagpur 441 207 Gujarat, Maharashtra",Gujarat
ASSOCIATE MEMBERS,101,KBR Engineering & Construction India Private Limited 108 KPR Crop-Science Private Limited,"16th Floor, Tower A, Building No. 5 D.No. - 3-92, Nallamilli Road, Biccavolu, DLF Cyber Terraces, DLF Phase III, Biccavolu Mandal, Gurgaon 122 002 District East Godavari 533 343, Haryana Andhra Pradesh",Haryana
ASSOCIATE MEMBERS,102,Key-Tech Engineering Company 109 Krishi Rasayan Exports Private Limited,"202, Center Point Premises 1115, Hemkunt Tower, Opposite Parel Post Office, Jijibhai Lane 98, Nehru Place, Mumbai 400 012 New Delhi - 110 019, Maharashtra",Maharashtra
ASSOCIATE MEMBERS,103,Keytrade AG 110 Kutch Copper Limited (SEZ),"India Liaison Office 12th Floor, Aravalli House, Shantigram, B-260, Greater Kailash - I Nr. Vaishnodevi Circle, SG Highway, New Delhi - 110 048 Ahmedabad 382 421, Gujarat",Gujarat
ASSOCIATE MEMBERS,104,Khandelwal Distributors Private Limited 111 Larsen & Toubro Limited,"More Kothi, Gangapur Heavy Engineering Division, Shyamganj 32, Shivaji Marg, Bareilly 243 005 New Delhi - 110 015, Uttar Pradesh",Uttar Pradesh
ASSOCIATE MEMBERS,105,KLJ Resources Limited 112 Linde Engineering India Private Limited,"403/404, 4th Floor, N.S. Phadke Marg, Linde House, Near East West Flyover, Andheri East, Near Nilamber Circle, Vasna-Gotri Road, Vasna, Mumbai 400 069 Vadodara 391 410, Maharashtra Gujarat",Maharashtra
ASSOCIATE MEMBERS,113,Lohia Corp Limited 120 Marut Dronetech Private Limited,"D-3/A, Panki Industrial Estate, 2nd Floor, Veda Ventures, Survey of India Society, Kanpur 208 022 Road No. 4, Chanda Naik Nagar, Madhapur, Uttar Pradesh Hyderabad 500 081, Telangana",Uttar Pradesh
ASSOCIATE MEMBERS,114,M.D. Biocoals Private Limited 121 MECS India Private Limited,"Era Galleria SCO-06, Second Floor, B14-117/ 119, WeWork, Barnala Road, Near JCD Vidyapeth, 13th Floor, 247 Park, Gandhinagar, Vikhroli (West), Sirsa 125 055 Mumbai 400 079, Haryana Maharashtra",Haryana
